,Children,Age,Income,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Timely_Response,Timely_Fixes,Timely_Replacements,Reliability,Options,Respectful_Response,Courteous_Exchange,Active_Listening,Education_Associate_Degree,Education_Bachelor_Degree,Education_Doctorate_Degree,Education_GED_or_Alternative_Credential,Education_Master_Degree,Education_No_Schooling_Completed,Education_Nursery_School_to_8th_Grade,Education_Professional_School_Degree,Education_Regular_High_School_Diploma,Education_Some_College__1_or_More_Years__No_Degree,Education_Some_College__Less_than_1_Year,Employment_Part_Time,Employment_Retired,Employment_Student,Employment_Unemployed,Marital_Married,Marital_Never_Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Prefer_not_to_answer,Churn_Yes,Techie_Yes,Contract_One_year,Contract_Two_Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber_Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit_Card__auto,PaymentMethod_Electronic_Check,PaymentMethod_Mailed_Check
1,1.0,27.0,21704.77,12.01454108,1,1.156680997,242.9480155,800.9827661,3,4,3,3,4,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
3,1.0,48.0,18925.23,15.20619309,0,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
4,0.0,83.0,40074.19,8.960316419,1,1.670971726,150.7612159,271.4934362,4,4,4,3,4,4,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
12,0.0,83.0,83671.08,7.265960814,0,13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
18,3.0,61.0,39262.14,11.10106846,0,17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
19,3.0,23.0,19494.75,11.08853215,0,12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
24,3.0,75.0,28520.32,14.54825704,0,5.770390256,163.3124055,870.76398,3,3,4,2,4,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0
25,1.0,77.0,12558.83,11.37952059,0,4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,9.0,45.0,43383.54,7.472844182,0,11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
36,2.0,26.0,10114.81,44.72520233,1,3.312991809,258.4081654,897.5919144,4,3,5,5,2,4,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
39,1.0,72.0,50336.5,7.790281114,1,16.04202196,147.2911879,1530.10769,3,4,3,6,4,4,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
42,4.0,41.0,12003.33,11.1979215,2,3.924254455,253.7918326,1125.581944,3,3,3,5,1,4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0
52,1.0,59.0,38391.55,2.663660525,0,5.486534225,148.4154058,727.3731845,4,4,4,3,4,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
53,0.0,31.0,44137.6,8.505759564,0,1.55278221,167.3108222,452.8721504,4,4,3,4,4,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
55,1.0,58.0,62359.91,12.13605498,1,13.98666226,131.1822001,1840.628269,3,4,3,6,3,4,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
56,1.0,73.0,82634.86,9.531952076,1,9.563362997,116.095233,1324.330108,5,4,3,5,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
60,1.0,26.0,55319.23,7.273891516,0,2.871017037,163.8522919,1086.990308,5,5,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
61,1.0,25.0,81831.49,39.88390274,0,2.344875382,225.2947474,704.7540406,3,4,3,2,3,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
62,0.0,42.0,100076.65,8.599583947,0,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
66,3.0,70.0,10964.73,7.029314673,1,4.471254161,265.9812978,1007.425553,3,3,2,4,4,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0
